Header,SubHeader,Brand,Documentation,Case,Price,Model,Condition,Year,Imgs
A. Lange & Söhne,606.079F,A. Lange & Söhne,Con documentos originales,Con estuche original,4 667 742 HK$ (= 558 636 €),,"Como nuevo y sin estrenar El artículo no presenta señales de uso, como arañazos o abolladuras, y está sin estrenar. El artículo no ha sido pulido.",2024,"['https://img.chrono24.com/images/uhren/39434057-p7g4ioos6j4j85k2gente76z-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39434057-dqqm41pskjei7tpyoo695ngu-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39434057-ks84r90k9nudncs2v2mlmq1a-Zoom.jpg']"
A. Lange & Söhne Lange 1,109.032,A. Lange & Söhne,Sin documentos originales,Sin estuche original,24 538 $ (= 22 772 €),Lange 1,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",No conocido,"['https://img.chrono24.com/images/uhren/sn20rti9u4lc-jecd36mo4j1h1whc6det6svh-Zoom.jpg', 'https://img.chrono24.com/images/uhren/djp5yiwmxzoh-ig8zwy74t5wnubqvs4sxtnhg-Zoom.jpg', 'https://img.chrono24.com/images/uhren/abpgnur6vhew-xursc5l3p0lkt96o45cojzqu-Zoom.jpg', 'https://img.chrono24.com/images/uhren/5wtf9oerhzxe-e6bf54ub1gjfmltd8vs3bfb9-Zoom.jpg', 'https://img.chrono24.com/images/uhren/0oful1ayhe4g-a7vzvybjwd7wlb45rsubail0-Zoom.jpg', 'https://img.chrono24.com/images/uhren/gj35md0aezja-6vef2hvk5n2sgw5hz977aure-Zoom.jpg', 'https://img.chrono24.com/images/uhren/o1593it9d4eb-vkfgm1go09aaj7p4s3c9vl3h-Zoom.jpg', 'https://img.chrono24.com/images/uhren/8xi2pnpucge1-crax2roslj6nray5ozjjx8t1-Zoom.jpg']"
A. Lange & Söhne Lange 1,Time Zone,A. Lange & Söhne,Sin documentos originales,Sin estuche original,190 000 ¥ (= 23 990 €) [Sujeto a negociación],Lange 1,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",No conocido,"['https://img.chrono24.com/images/uhren/37196108-2hs1k4litwtksgvk3u9ez5r0-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37196108-ynxj4cghj99hktx7uo55lxyi-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37196108-gb2pbq8fy5468ujri379e10k-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37196108-06a8uppbajtubcyulajx1qmq-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37196108-4ygfddid98ht5psq60ut1x71-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37196108-w6x7w4b5cwvo7ozvks07p139-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37196108-qa01b1e3gs6tw0fi7i7lwuxb-Zoom.jpg']"
A. Lange & Söhne Lange 1,101.035,A. Lange & Söhne,Sin documentos originales,Con estuche original,42 200 €,Lange 1,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",No conocido,"['https://img.chrono24.com/images/uhren/39786131-f8satuoytechfeh7qbbvfrrh-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-hkbe52vwonexe8ute3yl2w4t-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-oiect8uluoay63ntgswxoi9u-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-82vrdacuxqagft4t0njcnbyq-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-jlkr2f6vb5namkei6un24iat-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-rca6sn4pql1s0g5zzfkjy75l-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-s3hjdjd63orbdblgf1eqe0nb-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-c99utnbly9rougot9an7j0m5-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-pmdbf6btk9owlibaw3zgeei9-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-s83ktlinmnxcezlthz05t2v9-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-j3i95ofmxwh4aeecgb3yu0e9-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-jmtp5u7hndtch82ge2vyccc1-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-ymmr5mipb59uswa16laqui71-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-41ij20ltku8inp17kqac5sr9-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-3vydsn17pl5mjbz83euc09dn-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39786131-9o6529nqlyf5yzuuacn7i610-Zoom.jpg']"
A. Lange & Söhne,"Arkade 18K (0,750) Gold Handaufzug Damenuhr Ref. 103.021",A. Lange & Söhne,Sin documentos originales,Sin estuche original,8350 €,,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",2002,"['https://img.chrono24.com/images/uhren/38857525-ywi89mue8jpnwft7nlai9m4g-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38857525-o6zpxwcqeovn9q7ltwvm0ipz-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38857525-je39vuau3yp4znr2ixx983xv-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38857525-rxs8583zjzzumob62hu3ssam-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38857525-oaigekb1adhk24d35th2yp2e-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38857525-z2seuxte8qovoam9pb0bvm0l-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38857525-cpxjb31tnz0ivdvl9f5pgzw3-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38857525-nslrqk68ogbpgph3nfzqvrn5-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38857525-cko8kdk7t0n6kpahd7qtyp62-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38857525-nml7aeqt2d2bgi24s3iqgw81-Zoom.jpg']"
A. Lange & Söhne 1815,Annual Calendar,A. Lange & Söhne,Con documentos originales,Con estuche original,33 000 € [Sujeto a negociación],1815,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",2018,"['https://img.chrono24.com/images/uhren/38138614-nrda06rz68oqhyw8fkkdmfuk-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38138614-d4a6p64ji1jte2o4yvzhi7z0-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38138614-lnbplwsid80lw1iytng2gk8a-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38138614-blukvqfmgqsnjipwipdlcsm3-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38138614-mxmg6hy8wis2357a2j4sk99e-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38138614-swipp51hyrhbgb2227u7patt-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38138614-shbxwi361ablx1ve35q0247l-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38138614-74b6uhf2fhsl1v169x25k3fx-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38138614-93gth0w8cxgh9mje1p1ixf06-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38138614-d30dxr6l8s2kxwuov5nytzlk-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38138614-zmm1m9vlafyy8siei9c2r3dp-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38138614-8oownbrppjhkaxgl52ff8cz7-Zoom.jpg']"
A. Lange & Söhne Little Lange 1,Moon Phase Gold Flux,A. Lange & Söhne,Sin documentos originales,Sin estuche original,390 000 HK$ (= 46 675 €) [Sujeto a negociación],Little Lange 1,Nuevo El artículo es nuevo y no presenta señales de uso. El periodo de garantía comienza a partir de la compra del reloj.,2024,['https://img.chrono24.com/images/uhren/37269906-rz5a1i7l0hud1orbmx98pypm-Zoom.jpg']
A. Lange & Söhne Lange 1,Time Zone,A. Lange & Söhne,Sin documentos originales,Con estuche original,29 300 € [Sujeto a negociación],Lange 1,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",No conocido,['https://img.chrono24.com/images/uhren/36100511-lnw8sf3pz1a0m1ive70dd0ck-Zoom.jpg']
A. Lange & Söhne Lange 1,109.032,A. Lange & Söhne,Con documentos originales,Sin estuche original,196 000 HK$ (= 23 457 €),Lange 1,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",No conocido,"['https://img.chrono24.com/images/uhren/37452961-bnr48rdssundaveu87yzx9kz-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37452961-r854qadlp4be59b8m7l4ay93-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37452961-09ilkyu1r0qef0qqng3wxk5l-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37452961-meylirihocxdjt6zamvzv57s-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37452961-try68orvn9qm4dtf6d53rt3m-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37452961-ykrvvoma8wp9zb9xcszqplq6-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37452961-gdf1d5bejcy20f2dzyto6di7-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37452961-e0trno7rk80igtg2c1ryibj7-Zoom.jpg']"
A. Lange & Söhne 1815,Ref 1815 950 Handaufzug - 36mm - Platinum - Official Extract,A. Lange & Söhne,Sin documentos originales,Con estuche original,22 000 €,1815,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",No conocido,"['https://img.chrono24.com/images/uhren/39798726-s618nizm9ujn92j8z1tf093b-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39798726-wck1sh4whhas6d6lwg4t09ba-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39798726-saaiy4g7evrybwduxon0bfpr-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39798726-x51afr10134fbu61yg99fead-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39798726-tzz24jlq6e5bou3jzoh755af-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39798726-8itrai7rsoq93shihi84kjcq-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39798726-d9d0dx37ibew0oaxomsycim2-Zoom.jpg']"
A. Lange & Söhne Datograph,PERPETUAL TOURBILLON platinum 740.036FE 100 Limited Rare,A. Lange & Söhne,Con documentos originales,Con estuche original,299 000 $ (= 277 478 €) [Sujeto a negociación],Datograph,Nuevo El artículo es nuevo y no presenta señales de uso. El periodo de garantía comienza a partir de la compra del reloj.,2025,"['https://img.chrono24.com/images/uhren/35272733-bfau8h5lc65wt4w6mu6sus10-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-463mh80uwspsn04d3ws9r7oc-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-5ulx14gs33p6j5bi7op2jk3u-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-bxt5wazpivfccu4h12monbye-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-k19r6rxt2kvg2hbf2247sq16-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-dkofmknkrlwm7akrmk4qrt3g-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-57eieprmdm26shtr0cxf5zp0-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-qrfvlh00ivg5yoio8c6y0vnw-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-uai750vs0fegg1qhe9loiynz-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-1s5fj2r5um45j1vp77lerl1y-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-7pgxycb6waq38zmhy315pzd5-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-m0fszc65h8g1ivaek584kdio-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-ulbwmpq3jdf45i034l2pks42-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-13sg2sjd2sf9vh2fg1rbsdcx-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-dowqs3h5blp2zbb6ie6jdz3i-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35272733-3imqp5klm0zwkq9fg3zr9la6-Zoom.jpg']"
A. Lange & Söhne Langematik,301.021,A. Lange & Söhne,Con documentos originales,Con estuche original,21 000 € [Sujeto a negociación],Langematik,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",2000 (Año aproximado),"['https://img.chrono24.com/images/uhren/33321621-bkut4haroctg4z5arihzi1r3-Zoom.jpg', 'https://img.chrono24.com/images/uhren/33321621-2mhc03bd6wecnki06ggqhi8d-Zoom.jpg', 'https://img.chrono24.com/images/uhren/33321621-lvwewpsowg8bx3ki2xthgy4f-Zoom.jpg', 'https://img.chrono24.com/images/uhren/33321621-0isxf1o3bg9zh5x9rw2kew7d-Zoom.jpg', 'https://img.chrono24.com/images/uhren/33321621-x5tcruaju9zq41amko15d23q-Zoom.jpg', 'https://img.chrono24.com/images/uhren/33321621-8mgcbnpkoqsk17qxp5wqj86b-Zoom.jpg']"
A. Lange & Söhne Saxonia,Thin,A. Lange & Söhne,Sin documentos originales,Sin estuche original,20 403 $ (= 18 934 €),Saxonia,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",No conocido,"['https://img.chrono24.com/images/uhren/tqwekqqbpyz3-0o3q9h72a8sal4n426tv2mw2-Zoom.jpg', 'https://img.chrono24.com/images/uhren/ozgq8m034q8r-kxbnn6sm9il58s3jjw39xhb0-Zoom.jpg', 'https://img.chrono24.com/images/uhren/f0esh33agi4v-e30qgghu3aqohvi5le3ixtkq-Zoom.jpg', 'https://img.chrono24.com/images/uhren/vkuw6u777epb-rocsrp1l21m5kvho2jkk19qh-Zoom.jpg', 'https://img.chrono24.com/images/uhren/lp5kupr08j1q-snpk9mfoc7d5qx5rziavk6r8-Zoom.jpg', 'https://img.chrono24.com/images/uhren/w4rs5149o76t-waxb44myix8o1ef52n9m495k-Zoom.jpg', 'https://img.chrono24.com/images/uhren/fluyx7mtjy5x-7tm3cevfem9nhex5e6mhw9cj-Zoom.jpg']"
A. Lange & Söhne 1815,206.032 Cuerda manual Oro rosa Bueno,A. Lange & Söhne,Sin documentos originales,Sin estuche original,1 807 432 ¥ (= 11 607 €),1815,"Usado (Bueno) El artículo presenta señales visibles y perceptibles de uso, como arañazos, rozaduras o pequeñas abolladuras.",No conocido,"['https://img.chrono24.com/images/uhren/38103313-yczt35kwn2a6wq2yveli814e-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38103313-e6qlbc5hqh1egjupgp6feygw-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38103313-dyue53q31bmmo0unsgwwqngo-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38103313-22jqpr62ff0l68vbid82n9aa-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38103313-eb5wpk3uum9gdocebhnbjf50-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38103313-2cu43j569d5hdocgur80k0ey-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38103313-gh3sdh0c4a16hrutezadxz7e-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38103313-b6xt1eww369qe8xkg6c87ikn-Zoom.jpg']"
A. Lange & Söhne 1815,Platin 1. Generation Ref. 206.025,A. Lange & Söhne,Sin documentos originales,Sin estuche original,17 980 € [Sujeto a negociación],1815,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",No conocido,"['https://img.chrono24.com/images/uhren/38775372-ua5pryu9cjkh7ucqb6ysjnv0-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38775372-jdk7fokcmq04mx8c00qieo92-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38775372-eksietr2yhysqge83059nyhi-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38775372-mkn0bkny52v1mp9xvglfvk35-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38775372-m1caqs71t2f5gyssy6n12pt1-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38775372-5l7bn5ncuz7nosajpd31qb88-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38775372-uw5qinl203z8aqlsn505snsp-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38775372-tjeyn9y3p19qup5u61kz87sh-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38775372-i9olk8jm7288so8c1prk5550-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38775372-jdqqjnz7y3s95sxyo3diawal-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38775372-e1ylnjwounpei3bq6frndonb-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38775372-ipyfhhnbkd4469rg5h5z6dnx-Zoom.jpg']"
A. Lange & Söhne Lange 1,101.021,A. Lange & Söhne,Sin documentos originales,Sin estuche original,152 000 ¥ (= 19 192 €) [Sujeto a negociación],Lange 1,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",No conocido,"['https://img.chrono24.com/images/uhren/38298150-swdb6b8um9a6jxgzzi0vwp83-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38298150-yp8qn90tqo4pmai9hehhsrce-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38298150-rlhr44ciiyysk07b4560lh2u-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38298150-av8qgxxldzrrk70u7ek5xd7u-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38298150-hadw1ud13hn701h7gjtlps3t-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38298150-vgmf433jj4o4u8eco415sdg2-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38298150-qy1urh7k4r1ndclqlqta2dhh-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38298150-hxo2lnavgj0079u2pxf8un88-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38298150-a5xj0irrmi6a3wkk383q7d9p-Zoom.jpg']"
A. Lange & Söhne 1815,Chronograph 39.5mm 401.026,A. Lange & Söhne,Sin documentos originales,Sin estuche original,315 275 HK$ (= 37 732 €),1815,"Usado (Bueno) El artículo presenta señales visibles y perceptibles de uso, como arañazos, rozaduras o pequeñas abolladuras.",No conocido,"['https://img.chrono24.com/images/uhren/36217919-hfy6c03loy3ja1y4fa97gplc-Zoom.jpg', 'https://img.chrono24.com/images/uhren/36217919-bjw5pni5q3ihpnpcayiekra1-Zoom.jpg', 'https://img.chrono24.com/images/uhren/36217919-qcseoyzov219camq3f68ury9-Zoom.jpg', 'https://img.chrono24.com/images/uhren/36217919-ckfdnfme5f5r5blv271zbuoz-Zoom.jpg', 'https://img.chrono24.com/images/uhren/36217919-vnnbkbtpc5kf111nkpubbjsa-Zoom.jpg', 'https://img.chrono24.com/images/uhren/36217919-qadkhizvstiytsoq3tcmgqij-Zoom.jpg', 'https://img.chrono24.com/images/uhren/36217919-n14py9884ze5gigw8vo2o4du-Zoom.jpg']"
A. Lange & Söhne 1815,235.026,A. Lange & Söhne,Con documentos originales,Sin estuche original,18 500 € [Sujeto a negociación],1815,"Como nuevo y sin estrenar El artículo no presenta señales de uso, como arañazos o abolladuras, y está sin estrenar. El artículo no ha sido pulido.",2020,"['https://img.chrono24.com/images/uhren/38608797-kypmecs2w1bvkkr72hjb1dt6-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38608797-bc24sw1jxdrib3x334yq9u3p-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38608797-1jwg0vgmdq04dyj5u0nuslx0-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38608797-beq3pkub4n5l7xoxnr8y67mt-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38608797-yxgvke7tt8egogwjbgzs090p-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38608797-x1vri4dferpdfxykv6mycpie-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38608797-n7zw6f1r3w56osreav50ekpb-Zoom.jpg', 'https://img.chrono24.com/images/uhren/38608797-qq1m9wtdojk4pk74ykcse5sm-Zoom.jpg']"
A. Lange & Söhne Lange 1,"Ref. 101.021 - ""Very good"" condition - Original papers",A. Lange & Söhne,Con documentos originales,Sin estuche original,21 450 €,Lange 1,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",2000,"['https://img.chrono24.com/images/uhren/39529018-bca7p1we6h3m5hkwct9eb14q-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39529018-9ibc22coj3a4guigvsd1dv53-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39529018-bb43ewc2o99lf2dka7qchqmk-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39529018-b3lobsghgobyxgeiwrr2al8d-Zoom.jpg', 'https://img.chrono24.com/images/uhren/39529018-sehdypfzyhqw7sb0fvgyw43k-Zoom.jpg', 'https://img.chrono24.com/images/uhren/zg1mje55iwpq-tt592yutp76pw04oh4cccski-Zoom.jpg', 'https://img.chrono24.com/images/uhren/x0hh8yjebv2z-esf374olbkin1xm8sr1r5elr-Zoom.jpg']"
A. Lange & Söhne Saxonia,216.026,A. Lange & Söhne,Sin documentos originales,Sin estuche original,106 000 HK$ (= 12 686 €),Saxonia,"Usado (Muy bueno) El artículo presenta ligeras señales de uso, como unos leves arañazos, pero no son perceptibles.",No conocido,"['https://img.chrono24.com/images/uhren/37321200-g30gfaabitudukktwoyufi2c-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37321200-4cbekis5pdtgdit35ns8dgp5-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37321200-iggjxx8e5g5apiavfs4gn6zw-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37321200-zz3tzmsjnva8c8lmkfrf4qkx-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37321200-in0v4ykuwjms3hrnk1upiso5-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37321200-p8ihv75f7yvwoeev4d2st2yy-Zoom.jpg', 'https://img.chrono24.com/images/uhren/37321200-nhrokl1qf00tavdkpmng8j13-Zoom.jpg']"
Longines HydroConquest,L3.642.4.56.6,Longines,Sin documentos originales,Con estuche original,650 € [Sujeto a negociación],HydroConquest,"Usado (Bueno) El artículo presenta señales visibles y perceptibles de uso, como arañazos, rozaduras o pequeñas abolladuras.",No conocido,"['https://img.chrono24.com/images/uhren/sjwim9shpc1x-w8jzweqpgffmzntamxaaif63-Zoom.jpg', 'https://img.chrono24.com/images/uhren/xaxdoa3fyaxw-agad0hwi2ttn900quyfrjq0x-Zoom.jpg', 'https://img.chrono24.com/images/uhren/77fjipnsw2vo-k720i8aw42kz4jcpm3w2cpbt-Zoom.jpg', 'https://img.chrono24.com/images/uhren/8f0vatws573f-dyynpnljg5k954z1halhpzf4-Zoom.jpg', 'https://img.chrono24.com/images/uhren/ewpm89go3474-l2aosl5dqne8qgao4nue8oi6-Zoom.jpg', 'https://img.chrono24.com/images/uhren/irngao9rempg-wf0uhfrjlbbmkxcq2xl8nux6-Zoom.jpg', 'https://img.chrono24.com/images/uhren/51dsnfavxq80-nja0dq06k5910juauo8xr7xn-Zoom.jpg', 'https://img.chrono24.com/images/uhren/l2y2dwo2ta17-egefnnoe77r3bb2lmvmpkn08-Zoom.jpg']"
Longines Conquest,L3.720.4.02.6,Longines,Con documentos originales,Con estuche original,1700 €,Conquest,Nuevo El artículo es nuevo y no presenta señales de uso. El periodo de garantía comienza a partir de la compra del reloj.,2025,"['https://img.chrono24.com/images/uhren/35199062-9thdn50y7im8dcawcfrw0ba6-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-ncflnv5ac8zeb4yvfpijfz9u-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-70ukblp0bqktw2jn1ldzb8g0-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-t7x0k4au5cpflv7hwfyy8k4n-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-q9jgzrf3syh9fttzx0becija-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-ruyh71uqw90pqwhzw288b1qb-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-ks3xxmqt6bthp3odt5xecel3-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-oht73q0isby16l3utjq4vsc2-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-zgoalh4873eaw5ghzz7axq10-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-8nwitsi3habmyuzgiyyaavwj-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-g8nru5xnqtqnxoiscix033rd-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-p2nbou80i09tlj4ruh9ge6fn-Zoom.jpg', 'https://img.chrono24.com/images/uhren/35199062-rhjcdyy68xr1d9gk8d9l8wpr-Zoom.jpg']"
